Condition,Result
21930,85099B  
20713,85099B  
22697,22699
22698,22699
20725 23199  ,85099B  
23203 23199  ,85099B  
21931 20713  ,85099B  
23201 23199  ,85099B  
22423 22697  ,22699
22423 22698  ,22699
20727 22383  ,20725
22382 22383  ,20725
22697 22698  ,22699
22423 22697  ,  
22386,85099B  
23199,85099B  
22697,22423
22697,22423 22699 
22699 22697  ,22423
22698,22423
22698,22697
22698,22423 22699 
22699  22698 ,22423
22384  22383 ,20725
20727  20728 ,20725
22698,22699 22697 
22699  22698 ,22697
21929  22386 ,85099B  
22423  22698 ,22697
22697  22698 ,22423
22423  22698 ,22699 22697 
22423  22699 22698,22697
22697  22698 ,22423 22699 
22699  22697 22698,22423
20712,85099B  
23173,22423
23203  23201 ,85099B  
22384  22386 ,85099B  
21931  22386 ,85099B  
20725  22386 ,85099B  
85099B  22383 ,20725
21931  23201 ,85099B  
20727  22382 ,20725
  85099F ,85099B  
22697,22698
22697,22699 22698 
  22699 22697,22698
84992,21212
  22423 22697,22698
22698,22423 22697 
  22423 22697,22699 22698 
 22423 22699 22697,22698
22698,22423 22699 22697
  22699 22698,22423 22697 
20725  21931 ,85099B  
22384  22382 ,20725
20728  22383 ,20725
23203  21928 ,85099B  
22384  21931 ,85099B  
20728  21931 ,85099B  
21929  21928 ,85099B  
22699,22423
22383,20725
85099B 20728  ,20725
  85099C ,85099B  
23581,85099B  
22384  20727 ,20725
22384  20728 ,20725
20725  22383 ,22384
22697,22423 22698 
22697,22423 22699 22698
22699 22697  ,22423 22698 
23344,85099B  
20725   23203, 85099B 
23203   22411, 85099B 
23209   20728,20725
20728   22382,20725
85099B   22382,20725
23209   23202,23203
23201,85099B  
21928,85099B  
21977,21212
22625,22624
85099B 23209  ,23203
21733,85123A  
20725 22383  ,20727
21931,85099B  
21929,85099B  
20713,21931
20713,85099B 21931 
85099B  20713 ,21931
85099B  23202 ,23203
20725  20728 ,85099B  
84991,21212
22383,22384
20728,20725
85099B  22411 ,23203
20725  22382 ,22384
20725  22382 ,20728
20725  22383 ,20728
