Condition,Result
8184,685
685,8184
8194,8184
8187,8184
2960,8184
2467,8184
1673,8184
8194,685
8187,685
2960,685
2467,685
1673,685
8194,8187
8187,8194
2467,1673
1673,2467
48194,48184 20685
48184,48194 20685 
20685,48194 48184 
48187  48184,20685
48184,48187  20685
20685,48187  48184
22960  48184,20685
48184,22960  20685
20685,22960  48184
22467,48184  20685
48184  22467,20685
20685  22467,48184
21673,48184  20685
48184  21673,20685
20685  21673,48184
48194,48184  48187
48184  48194,48187
48187,48184  48194
48184  48187,48194
48194  48187,48184
22467,48184  21673
48184  22467,21673
21673,48184  22467
48184  21673,22467
22467  21673,48184
48194,20685  48187
20685  48194,48187
48187,20685  48194
20685  48187,48194
48194  48187,20685
22467,20685  21673
20685  22467,21673
21673,20685  22467
20685  21673,22467
22467  21673,20685
48194,48184 20685 48187
48184  48194,20685  48187
20685  48194,48184  48187
48184 20685 48194,48187
48187,48184 20685 48194
48184  48187,20685  48194
20685  48187,48184  48194
48184 20685 48187,48194
48194 48187 ,48184 20685 
48184 48194 48187,20685
20685 48194 48187,48184
22467,48184 20685 21673
48184 22467 ,20685 21673 
20685 22467 ,48184 21673 
48184 20685 22467,21673
21673,48184 20685 22467
48184 21673 ,20685 22467 
20685 21673 ,48184 22467 
48184 20685 21673,22467
22467 21673 ,48184 20685 
48184 22467 22467,20685
20685 22467 21673,48184
8184,8194
8184,8187
8184,2960
8184,2467
8184,1673
685,8194
685,8187
685,2960
685,2467
685,1673
48184,20685 48194 
20685,48184 48194 
48184 20685 ,48194
48184,20685 48187 
20685,48184 48187 
48184 20685 ,48187
48184,20685 22960 
20685,48184 22960 
48184 20685 ,22960
48184 20685 ,22467
20685 48184 ,22467
48184 20685 ,22467
48184,20685 21673 
20685,48184 21673 
48184 20685 ,21673
48184,48194 48187 
48184,22467 21673 
